Starting network training
INFO: iteration 50: 208991.71875
INFO: iteration 100: 27861.8046875
INFO: iteration 150: 16882.8359375
INFO: iteration 200: 11453.923828125
INFO: iteration 250: 8657.40625
INFO: iteration 300: 7401.64599609375
INFO: iteration 350: 9360.3935546875
INFO: iteration 400: 8254.0400390625
INFO: iteration 450: 7841.51611328125
INFO: iteration 500: 10806.1279296875
INFO: iteration 550: 4862.7001953125
INFO: iteration 600: 6931.59326171875
INFO: iteration 650: 7608.91455078125
INFO: iteration 700: 7636.931640625
INFO: iteration 750: 6760.7099609375
INFO: iteration 800: 9534.8564453125
INFO: iteration 850: 7132.3408203125
INFO: iteration 900: 6475.98583984375
INFO: iteration 950: 6268.6728515625
INFO: iteration 1000: 8223.7021484375
INFO: iteration 1050: 6340.4794921875
INFO: iteration 1100: 8087.53173828125
INFO: iteration 1150: 8473.330078125
INFO: iteration 1200: 5307.8583984375
INFO: iteration 1250: 6377.580078125
INFO: iteration 1300: 7779.67041015625
INFO: iteration 1350: 7443.76904296875
INFO: iteration 1400: 7107.73583984375
INFO: iteration 1450: 8879.201171875
INFO: iteration 1500: 5561.2041015625
INFO: iteration 1550: 6366.67333984375
INFO: iteration 1600: 6597.345703125
INFO: iteration 1650: 7597.6083984375
INFO: iteration 1700: 6665.51220703125
INFO: iteration 1750: 9092.478515625
INFO: iteration 1800: 6671.6865234375
INFO: iteration 1850: 6042.38720703125
INFO: iteration 1900: 5266.9580078125
INFO: iteration 1950: 7387.99658203125
INFO: iteration 2000: 6442.01513671875
INFO: iteration 2050: 6501.07861328125
INFO: iteration 2100: 9618.4931640625
INFO: iteration 2150: 4798.28271484375
INFO: iteration 2200: 6067.8203125
INFO: iteration 2250: 7110.833984375
INFO: iteration 2300: 5805.69384765625
INFO: iteration 2350: 5955.6943359375
INFO: iteration 2400: 8178.48046875
INFO: iteration 2450: 5384.875
INFO: iteration 2500: 5333.34521484375
INFO: iteration 2550: 4871.7939453125
INFO: iteration 2600: 6487.701171875
INFO: iteration 2650: 5352.11083984375
INFO: iteration 2700: 7217.021484375
INFO: iteration 2750: 5628.6640625
INFO: iteration 2800: 4913.4345703125
INFO: iteration 2850: 4296.68359375
INFO: iteration 2900: 6352.158203125
INFO: iteration 2950: 5508.93408203125
INFO: iteration 3000: 5541.935546875
INFO: iteration 3050: 7181.94677734375
INFO: iteration 3100: 3602.5576171875
INFO: iteration 3150: 4932.97900390625
INFO: iteration 3200: 5233.03369140625
INFO: iteration 3250: 5648.5859375
INFO: iteration 3300: 4956.60205078125
INFO: iteration 3350: 6539.3525390625
INFO: iteration 3400: 5175.80712890625
INFO: iteration 3450: 4669.3466796875
INFO: iteration 3500: 4307.06787109375
INFO: iteration 3550: 6044.12646484375
INFO: iteration 3600: 4826.6787109375
INFO: iteration 3650: 5770.91796875
INFO: iteration 3700: 5878.97509765625
INFO: iteration 3750: 3975.188232421875
INFO: iteration 3800: 4499.05810546875
INFO: iteration 3850: 5453.09228515625
INFO: iteration 3900: 5497.1416015625
INFO: iteration 3950: 5434.50146484375
INFO: iteration 4000: 5910.15673828125
INFO: iteration 4050: 4204.84033203125
INFO: iteration 4100: 4553.43212890625
INFO: iteration 4150: 4527.4326171875
INFO: iteration 4200: 5722.87841796875
INFO: iteration 4250: 5087.138671875
INFO: iteration 4300: 6130.4951171875
INFO: iteration 4350: 4865.68310546875
INFO: iteration 4400: 4317.35009765625
INFO: iteration 4450: 3918.739013671875
INFO: iteration 4500: 5425.4697265625
INFO: iteration 4550: 4980.67333984375
INFO: iteration 4600: 5064.11669921875
INFO: iteration 4650: 6587.75830078125
INFO: iteration 4700: 3680.96875
INFO: iteration 4750: 4560.16064453125
INFO: iteration 4800: 5299.763671875
INFO: iteration 4850: 4975.74267578125
INFO: iteration 4900: 4983.3349609375
INFO: iteration 4950: 5993.66552734375
INFO: iteration 5000: 4569.78173828125
INFO: iteration 5050: 4257.77978515625
INFO: iteration 5100: 3923.474853515625
INFO: iteration 5150: 5599.07177734375
INFO: iteration 5200: 4778.3564453125
INFO: iteration 5250: 6020.25927734375
INFO: iteration 5300: 4792.58203125
INFO: iteration 5350: 4208.66357421875
INFO: iteration 5400: 3807.7236328125
INFO: iteration 5450: 5576.7998046875
INFO: iteration 5500: 4898.0654296875
INFO: iteration 5550: 5005.197265625
INFO: iteration 5600: 5908.51220703125
INFO: iteration 5650: 3248.836181640625
INFO: iteration 5700: 4218.61181640625
INFO: iteration 5750: 4344.81201171875
INFO: iteration 5800: 4729.275390625
INFO: iteration 5850: 3973.332763671875
INFO: iteration 5900: 5340.81494140625
INFO: iteration 5950: 4190.26904296875
INFO: iteration 6000: 3951.370361328125
INFO: iteration 6050: 3656.191162109375
INFO: iteration 6100: 4925.71337890625
INFO: iteration 6150: 4005.925537109375
INFO: iteration 6200: 4720.2587890625
INFO: iteration 6250: 4564.3603515625
INFO: iteration 6300: 3447.75634765625
INFO: iteration 6350: 3882.19189453125
INFO: iteration 6400: 4650.67333984375
INFO: iteration 6450: 4239.95458984375
